season,name,position,team,adp,nn
2020,DJ Chark,WR,,58.0,dj chark
2020,A.J. Green,WR,,59.0,a j green
2020,Courtland Sutton,WR,DEN,60.0,courtland sutton
2020,Tom Brady,QB,,61.0,tom brady
2020,Raheem Mostert,RB,,62.0,raheem mostert
2020,Marquise Brown,WR,PHI,63.0,marquise brown
2020,Julian Edelman,WR,,64.0,julian edelman
2020,Michael Gallup,WR,,65.0,michael gallup
2020,Matt Ryan,QB,,67.0,matt ryan
2020,Brandin Cooks,WR,,69.0,brandin cooks
2020,Josh Allen,QB,BUF,70.0,josh allen
2020,CeeDee Lamb,WR,DAL,71.0,ceedee lamb
2020,Hayden Hurst,TE,,73.0,hayden hurst
2020,Ronald Jones,RB,,74.0,ronald jones
2020,D'Andre Swift,RB,CHI,75.0,d andre swift
2020,James White,RB,,76.0,james white
2020,J.K. Dobbins,RB,DEN,77.0,j k dobbins
2020,Marlon Mack,RB,,79.0,marlon mack
2020,Jared Cook,TE,,80.0,jared cook
2020,Tyler Higbee,TE,LAR,81.0,tyler higbee
2020,Tarik Cohen,RB,,84.0,tarik cohen
2020,Marvin Jones,WR,,85.0,marvin jones
2020,Antonio Gibson,RB,,86.0,antonio gibson
2020,Carson Wentz,QB,MIN,87.0,carson wentz
2020,Phillip Lindsay,RB,,88.0,phillip lindsay
2020,Henry Ruggs,WR,,89.0,henry ruggs
2020,Jerry Jeudy,WR,CLE,90.0,jerry jeudy
2020,Jordan Howard,RB,,91.0,jordan howard
2020,Matt Breida,RB,,92.0,matt breida
2020,Emmanuel Sanders,WR,,93.0,emmanuel sanders
2020,Cam Newton,QB,,95.0,cam newton
2020,Latavius Murray,RB,,96.0,latavius murray
2020,Noah Fant,TE,NO,97.0,noah fant
2020,Diontae Johnson,WR,,98.0,diontae johnson
2020,Kerryon Johnson,RB,,99.0,kerryon johnson
2020,Austin Hooper,TE,ATL,101.0,austin hooper
2020,Zack Moss,RB,,102.0,zack moss
2020,Tevin Coleman,RB,,103.0,tevin coleman
2020,Mecole Hardman,WR,BUF,105.0,mecole hardman
2020,Christian Kirk,WR,SF,106.0,christian kirk
2020,Matthew Stafford,QB,LAR,107.0,matthew stafford
2020,Jamison Crowder,WR,,108.0,jamison crowder
2020,Sony Michel,RB,,109.0,sony michel
2020,Sterling Shepard,WR,,110.0,sterling shepard
2020,Joe Burrow,QB,CIN,111.0,joe burrow
2020,Darius Slayton,WR,NYG,112.0,darius slayton
2020,Justin Jefferson,WR,MIN,115.0,justin jefferson
2020,T.J. Hockenson,TE,MIN,117.0,t j hockenson
2020,Chase Edmonds,RB,,118.0,chase edmonds
2020,Mike Gesicki,TE,CIN,120.0,mike gesicki
2020,DeSean Jackson,WR,,122.0,desean jackson
2020,Ben Roethlisberger,QB,PIT,123.0,ben roethlisberger
2020,Tony Pollard,RB,TEN,124.0,tony pollard
2020,Sammy Watkins,WR,,125.0,sammy watkins
2020,Jalen Reagor,WR,MIA,126.0,jalen reagor
