nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
davis allen,Davis Allen,TE,52.0,LA,0.22,33.0,15.0,4.19,175.0
luke musgrave,Luke Musgrave,TE,33.0,GB,0.3163,31.0,13.0,3.78,42.0
nick westbrook ikhine,Nick Westbrook-Ikhine,WR,172.0,MIA,0.0816,20.0,13.0,1.53,
emanuel wilson,Emanuel Wilson,RB,118.0,GB,0.3238,125.0,17.0,5.56,
van jefferson,Van Jefferson,WR,104.0,TEN,0.1757,52.0,14.0,5.0,57.0
bauer sharp,Bauer Sharp,TE,53.0,,,,,,185.0
chris brooks,Chris Brooks,RB,99.0,GB,0.0699,27.0,17.0,1.92,
seydou traore,Seydou Traore,TE,54.0,,,,,,180.0
jaylen wright,Jaylen Wright,RB,100.0,MIA,0.1852,70.0,9.0,5.36,120.0
zavion thomas,Zavion Thomas,WR,78.0,,,,,,89.0
tanner koziol,Tanner Koziol,TE,55.0,,,,,,164.0
sam roush,Sam Roush,TE,56.0,,,,,,69.0
tua tagovailoa,Tua Tagovailoa,QB,80.0,MIA,0.6452,20.0,14.0,11.48,5.0
kaelon black,Kaelon Black,RB,85.0,,,,,,90.0
ben sinnott,Ben Sinnott,TE,57.0,WAS,0.125,13.0,9.0,3.16,53.0
brashard smith,Brashard Smith,RB,62.0,KC,0.131,44.0,17.0,3.72,228.0
elijah sarratt,Elijah Sarratt,WR,160.0,,,,,,115.0
ray davis,Ray Davis,RB,117.0,BUF,0.1384,58.0,17.0,3.77,128.0
cade stover,Cade Stover,TE,58.0,HOU,0.1231,16.0,6.0,3.32,123.0
kendrick bourne,Kendrick Bourne,WR,105.0,SF,0.212,53.0,14.0,6.58,
jalen tolbert,Jalen Tolbert,WR,173.0,DAL,0.0879,34.0,12.0,3.86,88.0
jam miller,Jam Miller,RB,63.0,,,,,,245.0
tutu atwell,Tutu Atwell,WR,106.0,LA,0.0409,15.0,8.0,3.9,57.0
joe royer,Joe Royer,TE,59.0,,,,,,170.0
nicholas singleton,Nicholas Singleton,RB,86.0,,,,,,165.0
nick vannett,Nick Vannett,TE,60.0,,,,,,
cj dippre,CJ Dippre,TE,61.0,,,,,,
josh oliver,Josh Oliver,TE,62.0,MIN,0.2021,19.0,12.0,4.58,69.0
kaytron allen,Kaytron Allen,RB,87.0,,,,,,187.0
caleb douglas,Caleb Douglas,WR,166.0,,,,,,75.0
