full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id
Kendall Blanton,TE,,27.0,,Active,4.0,6081,3122103.0,32125.0,b5e95ece-3b71-439b-b7b4-ae102f9e7c08
Thomas Sperbeck,WR,,27.0,,Active,5.0,4479,3042890.0,30480.0,04e6911c-7569-4d36-9d74-9c49616de1d5
Kevin Hogan,QB,,30.0,,Active,7.0,3318,2577128.0,29396.0,cd571cfc-9b44-4b69-a801-431db9aaa85e
Codey McElroy,TE,,29.0,,Active,4.0,5269,3951441.0,31732.0,225d9e5e-598c-4b32-9c74-d7df2018500c
Rory Anderson,TE,,29.0,,Active,7.0,2553,2577661.0,28642.0,aa0182e1-9c7d-4329-a8f9-52df8aa00749
Anthony Nash,WR,,28.0,,Active,5.0,4585,2969894.0,30819.0,7b5f779b-0a07-4734-9113-ba7101496cff
Calvin Tyler,RB,,24.0,,Active,1.0,11229,,,4663a0a0-e9ff-11ed-a7b7-57bc951137db
Chad Henne,QB,,37.0,,Active,15.0,89,11291.0,8834.0,f55053e4-4bfd-495d-981a-d62e3662f01b
James Cook,RB,BUF,26.0,,Active,4.0,8138,,,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7
Jaden Nixon,RB,GB,,,Active,0.0,13906,,,3e1441a0-4593-11f1-8f1e-e99a68a5f083
Harold Spears,TE,,32.0,,Active,10.0,2770,2507292.0,28765.0,8f5db5c1-b57b-4d3d-aa5e-ac70012eace1
Stone Eby,TE,,,,Active,0.0,13988,,,1076db40-4bd8-11f1-a676-ef8c01c21a6a
Reid Sinnett,QB,,26.0,,Active,3.0,7159,3926936.0,33279.0,7debccec-8ec2-443a-b4a7-a52f14464883
Jaren Hall,QB,,27.0,,Active,2.0,9231,,,84ba4cc6-8740-45c8-898b-9233e1791186
Jalen Morton,QB,IND,24.0,,Active,2.0,7262,,33229.0,bcf6e7cb-0fc7-4301-93fd-6a9aa4806cfa
Jarrett Guarantano,QB,,25.0,,Active,1.0,8442,,,7493b890-d554-11ec-addb-6dd6dcd40f21
Jahan Dotson,WR,ATL,26.0,,Active,4.0,8119,,,d4a7917d-f327-431b-9b87-83af341c3e21
Jashaun Corbin,RB,,25.0,,Active,3.0,8194,,,f75439c0-d3bb-11ec-96a0-c3471a31202c
JaQuan Hardy,RB,,24.0,,Active,1.0,7863,,,3ea081e8-a3c6-42c8-8deb-42a9bde10e98
Cole Hunt,TE,,26.0,,Active,4.0,5231,3047912.0,31680.0,8e73bb69-7907-4220-a09d-d97efc006606
Isaiah Wright,WR,,24.0,,Active,2.0,7407,4044121.0,33209.0,af534c7d-791e-4b7f-900d-2d8fd47c0d2a
Ben Johnson,TE,,27.0,,Active,4.0,5268,3039970.0,31682.0,31a408da-0c38-4046-8419-3ecfdd6d37f2
Jesper Horsted,TE,,27.0,,Active,5.0,6075,3940587.0,32576.0,48c56733-6644-42ee-9020-07bd2deba1ad
Will Ferrin,K,,,,Active,0.0,13838,,,eaaf5500-42bc-11f1-ac5c-3b447886e9e2
Tanner Brown,K,NO,26.0,,Active,3.0,11145,,,c0323320-e84b-11ed-91d9-49980de29a21
Khalid Abdullah,RB,,26.0,,Active,5.0,4697,3049325.0,30851.0,10b9f8b2-7e94-4ecd-9d93-458091c290e4
Tyler Kahmann,WR,,25.0,,Active,1.0,12831,,,f1e42550-23bc-11f0-980f-efd482ebc4ae
Brevin Easton,WR,,24.0,,Active,1.0,12220,,,ab3d68b0-07dd-11ef-86db-2329a5757e98
Robert Henry,RB,WAS,24.0,,Active,0.0,13418,,,75063230-4260-11f1-a80d-bff068733e76
John David Moore,RB,,26.0,,Active,4.0,5550,3042728.0,31493.0,60946edc-733d-4da3-93af-b63d269536ae
Efton Chism,WR,NE,24.0,,Active,1.0,12542,,,6704a490-2534-11f0-a084-3df705a62310
Blake Proehl,WR,,24.0,,Active,2.0,7552,,,b4a3566b-d533-4860-9133-c7e6ac22ab65
Alex Gray,TE,,30.0,,Inactive,5.0,4733,4227184.0,30888.0,5e12fc0a-e37d-4196-a9d2-cafe8127d543
Jamaal Jones,WR,,28.0,,Active,6.0,3540,3045565.0,29521.0,8510cc18-dd3c-45fb-af59-567381b09df1
Jauan Jennings,WR,MIN,28.0,,Active,6.0,7049,3886598.0,32887.0,3ae9f0fa-c711-4663-80cf-4707856c07aa
Rachaad White,RB,WAS,27.0,,Active,4.0,8136,,,4d3f2f57-215c-4cb4-bf75-a7ecdcdded70
Cole Hedlund,K,,26.0,,Active,3.0,6496,3128692.0,32369.0,5e52491c-218a-4e32-b455-0d3aa05b8151
Malik Washington,WR,MIA,25.0,,Active,2.0,11610,,,d7f4fd2c-ba4f-49ca-bd92-443a506e9eb4
James Washington,WR,,28.0,,Active,6.0,5024,3122449.0,31030.0,814aa074-fc61-4649-b7a1-098bd3a199fd
Kyron Drones,QB,GB,22.0,,Active,0.0,13599,,,66cff5f0-419a-11f1-8e85-4dc2fe1be0de
Hamze El-Zayat,WR,,25.0,,Active,1.0,12413,,,c0d1b570-118b-11ef-affc-27c7ad9d7a16
Jerome Cunningham,TE,,30.0,,Active,8.0,2304,2476373.0,28348.0,2a1658c4-c9fd-4a98-b619-74ec35e30bf5
Travis Toivonen,WR,,24.0,,Active,1.0,8070,,,773494e3-4e77-4db4-8197-dba388a014a6
Darrius Shepherd,WR,,27.0,,Active,4.0,6519,3120588.0,32378.0,4bfd6f35-f0ac-4c43-a023-f8236df31deb
Ahmarean Brown,WR,,24.0,,Active,1.0,11918,,,9d723650-0582-11ef-a33f-9f55418a3a56
Jean Sifrin,TE,,38.0,,Active,1.0,2565,,,fd0ab2ae-9e4f-4dbf-9e95-fab262e78d8c
Sam Darnold,QB,SEA,29.0,,Active,8.0,4943,3912547.0,30973.0,13d826c5-9b22-4e0a-a877-02d8c84c546b
Ja'Quan Gardner,RB,,,,Active,4.0,5809,4328969.0,31805.0,7dbed172-8808-4ddb-88f9-7b46414bbfc6
Charlie Jones,WR,CIN,27.0,,Active,3.0,10228,,,c634c231-61fb-4725-8533-2cce14bfebbf
DeShone Kizer,QB,,27.0,,Active,5.0,4026,3129302.0,30165.0,2a78e2e7-4ef3-4cdd-85e8-0d254b65143e
Robert Griffin,QB,,31.0,,Inactive,10.0,1169,14875.0,25712.0,8dfb370d-460c-4bfc-9d62-888687248783
Tanner McLachlan,TE,,27.0,,Active,2.0,11598,,,5d4fc75b-c99a-44f8-983c-c7b15e929a7a
Zack Annexstad,QB,,24.0,,Active,1.0,11995,,,c06f8890-0714-11ef-94b9-c56bd09275ff
Emani Bailey,RB,,23.0,,Active,1.0,11998,,,dc1edb70-0707-11ef-a3d0-77ba0287fd10
Andy Dalton,QB,PHI,38.0,,Active,15.0,829,14012.0,24822.0,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1
Jayden Reed,WR,GB,26.0,,Active,3.0,10222,,,23a306bc-5f77-4574-a575-bd599f243185
Seth Williams,WR,,25.0,,Inactive,4.0,7534,,,f3debe3e-27e4-4c4a-867a-ec537b5a7826
Michael Johnson,WR,,33.0,,Active,10.0,2754,2574603.0,29177.0,0fd9b49e-3023-4218-910d-a9e259631803
Romello Brooker,TE,,26.0,,Active,3.0,6388,3126196.0,32127.0,d428cfea-10ea-40b8-a4aa-423e5839fb0d
Corbin Louks,WR,,35.0,,Active,10.0,2684,15753.0,26594.0,1a4af562-3441-4bcf-8ae0-a6e5ad8b6ed3
Greg Zuerlein,K,,37.0,,Active,13.0,1266,14993.0,25881.0,93d11276-45d2-4168-a9b7-df0cbf12dabb
Dylan Soehner,TE,,25.0,,Active,1.0,7905,,,562809a9-de2f-4d1a-85f3-a968f896b86d
Michael Herzog,RB,,,,Active,1.0,12284,,,397aaa00-0c72-11ef-8029-1d21cd93ac2d
Jason Brownlee,WR,KC,27.0,,Active,3.0,11311,,,f286b160-eba8-11ed-87ba-cb97497fad29
JoJo Natson,WR,,27.0,,Active,5.0,4330,2971830.0,30531.0,2d52ede5-1c65-4f18-a8ac-9306192ef625
