espn_id,full_name,position,pro_team_id,adp,adp_pct_change,pct_owned,pct_started,proj_total_espn_default,proj_rush_att,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_pass_att,proj_pass_yds,proj_pass_td,proj_pass_int,proj_fg_made,proj_fg_att,proj_pat_made,nn
14902,Orson Charles,TE,7,,,,,,,,,,,,,,,,,,,orson charles
3914267,Taj McGowan,RB,0,,,,,,,,,,,,,,,,,,,taj mcgowan
14903,Michael Egnew,TE,18,,,,,,,,,,,,,,,,,,,michael egnew
14904,Ladarius Green,TE,23,,,,,,,,,,,,,,,,,,,ladarius green
14905,Adrien Robinson,TE,20,,,,,,,,,,,,,,,,,,,adrien robinson
14906,James Hanna,TE,0,,,,,,,,,,,,,,,,,,,james hanna
14907,Justin Blackmon,WR,30,,,,,,,,,,,,,,,,,,,justin blackmon
14908,Michael Floyd,WR,0,,,,,,,,,,,,,,,,,,,michael floyd
4569727,Louis Hansen,TE,0,,,,,,,,,,,,,,,,,,,louis hansen
14909,Kendall Wright,WR,0,,,,,,,,,,,,,,,,,,,kendall wright
14910,Stephen Hill,WR,29,,,,,,,,,,,,,,,,,,,stephen hill
14911,Rueben Randle,WR,3,,,,,,,,,,,,,,,,,,,rueben randle
14912,Alshon Jeffery,WR,0,,,,,,,,,,,,,,,,,,,alshon jeffery
