Rank,Player (Team / Bye),POS,AVG
395,Olamide Zaccheaus   ATL (11),WR142,374.0
396,Mack Hollins   NE (11),WR143,377.0
397,Mac Jones   SF (8),QB64,378.0
398,Isaiah Davis   NYJ (13),RB103,379.0
399,Kaleb Johnson   PIT (9),RB104,382.0
400,Devin Singletary   NYG (8),RB105,386.0
401,Joe Flacco   CIN (6),QB65,392.0
402,Tez Johnson   TB (10),WR144,394.0
403,Devin Neal   NO (8),RB106,395.0
404,Cole Kmet   CHI (10),TE57,397.0
405,Noah Gray   KC (5),TE58,400.0
406,Elijah Arroyo   SEA (11),TE59,402.0
407,Brashard Smith   KC (5),RB107,404.0
408,Kyle Williams   NE (11),WR145,408.0
